adjective,noun,tone,key,instrument,maj_min
comprehensive,stock,,,,
compulsive,weather,,,,
compulsory,chance,,,,
computer,figure,,,,
computerized,man,,,,
concealable,model,,,,
concealed,source,,,,
conceited,beginning,,,,
conceivable,earth,,,,
concerned,program,,,,
concerning,chicken,,,,
concerted,design,,,,
concise,feature,,,,
concurrent,head,,,,
condemned,material,,,,
condensed,purpose,,,,
condescending,question,,,,
conditional,rock,,,,
confident,salt,,,,
confidential,act,,,,
confirmable,birth,,,,
confirmed,car,,,,
conflicted,dog,,,,
conflicting,object,,,,
conformable,scale,,,,
confounded,sun,,,,
confused,note,,,,
confusing,profit,,,,
congenial,rent,,,,
congested,speed,,,,
congressional,style,,,,
congruent,war,,,,
congruous,bank,,,,
connectable,craft,,,,
connected,half,,,,
connecting,inside,,,,
connective,outside,,,,
conscientious,standard,,,,
conscious,bus,,,,
consecutive,exchange,,,,
consensual,eye,,,,
consenting,fire,,,,
conservative,position,,,,
considerable,pressure,,,,
considerate,stress,,,,
consistent,advantage,,,,
consoling,benefit,,,,
conspicuous,box,,,,
conspiratorial,frame,,,,
constant,issue,,,,
constitutional,step,,,,
constrictive,cycle,,,,
constructive,face,,,,
consumable,item,,,,
consummate,metal,,,,
contagious,paint,,,,
containable,review,,,,
contemplative,room,,,,
contemporary,screen,,,,
contemptible,structure,,,,
contemptuous,view,,,,
content,account,,,,
contented,ball,,,,
contentious,discipline,,,,
contextual,medium,,,,
continual,share,,,,
continuing,balance,,,,
continuous,bit,,,,
contoured,black,,,,
contractual,bottom,,,,
contradicting,choice,,,,
contradictory,gift,,,,
contrarian,impact,,,,
contrary,machine,,,,
contributive,shape,,,,
contrite,tool,,,,
controllable,wind,,,,
controlling,address,,,,
controversial,average,,,,
convenient,career,,,,
conventional,culture,,,,
conversational,morning,,,,
convinced,pot,,,,
convincing,sign,,,,
convoluted,table,,,,
convulsive,task,,,,
cooing,condition,,,,
cooked,contact,,,,
cool,credit,,,,
coolest,egg,,,,
cooperative,hope,,,,
coordinated,ice,,,,
copious,network,,,,
coquettish,north,,,,
cordial,square,,,,
corner,attempt,,,,
cornered,date,,,,
corny,effect,,,,
corporate,link,,,,
corpulent,post,,,,
correct,star,,,,
correctable,voice,,,,
corrective,capital,,,,
corresponding,challenge,,,,
corrosive,friend,,,,
corrupt,self,,,,
corrupting,shot,,,,
corruptive,brush,,,,
cosmetic,couple,,,,
cosmic,debate,,,,
costly,exit,,,,
cottony,front,,,,
coughing,function,,,,
courageous,lack,,,,
courteous,living,,,,
covert,plant,,,,
coveted,plastic,,,,
cowardly,spot,,,,
cowering,summer,,,,
coy,taste,,,,
cozy,theme,,,,
crabby,track,,,,
cracked,wing,,,,
crackling,brain,,,,
crafty,button,,,,
craggy,click,,,,
crammed,desire,,,,
cramped,foot,,,,
cranky,gas,,,,
crashing,influence,,,,
crass,notice,,,,
craven,rain,,,,
crawling,wall,,,,
crazy,base,,,,
creaking,damage,,,,
creaky,distance,,,,
creamy,feeling,,,,
creative,pair,,,,
credible,savings,,,,
creeping,staff,,,,
creepy,sugar,,,,
crestfallen,target,,,,
criminal,text,,,,
crippled,animal,,,,
crippling,author,,,,
crisp,budget,,,,
crispy,discount,,,,
critical,file,,,,
crooked,ground,,,,
cropped,lesson,,,,
cross,minute,,,,
crossed,officer,,,,
crotchety,phase,,,,
crowded,reference,,,,
crucial,register,,,,
crude,sky,,,,
cruel,stage,,,,
crumbling,stick,,,,
crumbly,title,,,,
crumply,trouble,,,,
crunchable,bowl,,,,
crunching,bridge,,,,
crunchy,campaign,,,,
crushable,character,,,,
crushed,club,,,,
crusty,edge,,,,
crying,evidence,,,,
cryptic,fan,,,,
crystalline,letter,,,,
crystallized,lock,,,,
cuddly,maximum,,,,
culpable,novel,,,,
cultural,option,,,,
cultured,pack,,,,
cumbersome,park,,,,
cumulative,plenty,,,,
cunning,quarter,,,,
curable,skin,,,,
curative,sort,,,,
curious,weight,,,,
curly,baby,,,,
current,background,,,,
cursed,carry,,,,
curt,dish,,,,
curved,factor,,,,
curvy,fruit,,,,
customary,glass,,,,
cut,joint,,,,
cute,master,,,,
cutting,muscle,,,,
cylindrical,red,,,,
cynical,strength,,,,
daffy,traffic,,,,
daft,trip,,,,
daily,vegetable,,,,
dainty,appeal,,,,
damaged,chart,,,,
damaging,gear,,,,
damp,ideal,,,,
danceable,kitchen,,,,
dandy,land,,,,
dangerous,log,,,,
dapper,mother,,,,
daring,net,,,,
dark,party,,,,
darkened,principle,,,,
dashing,relative,,,,
daughterly,sale,,,,
daunting,season,,,,
dawdling,signal,,,,
day,spirit,,,,
dazed,street,,,,
dazzling,tree,,,,
dead,wave,,,,
deadly,belt,,,,
deadpan,bench,,,,
deaf,commission,,,,
deafening,copy,,,,
dear,drop,,,,
debatable,minimum,,,,
debonair,path,,,,
decadent,progress,,,,
decayed,project,,,,
decaying,sea,,,,
deceitful,south,,,,
deceivable,status,,,,
deceiving,stuff,,,,
decent,ticket,,,,
decentralized,tour,,,,
deceptive,angle,,,,
decimated,blue,,,,
decipherable,breakfast,,,,
decisive,confidence,,,,
declining,daughter,,,,
decorative,degree,,,,
decorous,doctor,,,,
decreasing,dot,,,,
decrepit,dream,,,,
dedicated,duty,,,,
deep,essay,,,,
deepening,father,,,,
deeply,fee,,,,
defeated,finance,,,,
defective,hour,,,,
defendable,juice,,,,
defenseless,limit,,,,
defensible,luck,,,,
defensive,milk,,,,
defiant,mouth,,,,
deficient,peace,,,,
definable,pipe,,,,
definitive,seat,,,,
deformed,stable,,,,
degenerative,storm,,,,
degraded,substance,,,,
dehydrated,team,,,,
dejected,trick,,,,
delectable,afternoon,,,,
deliberate,bat,,,,
deliberative,beach,,,,
delicate,blank,,,,
delicious,catch,,,,
delighted,chain,,,,
delightful,consideration,,,,
delinquent,cream,,,,
delirious,crew,,,,
deliverable,detail,,,,
deluded,gold,,,,
demanding,interview,,,,
demented,kid,,,,
democratic,mark,,,,
demonic,match,,,,
demonstrative,mission,,,,
demure,pain,,,,
deniable,pleasure,,,,
dense,score,,,,
dependable,screw,,,,
dependent,sex,,,,
deplorable,shop,,,,
deploring,shower,,,,
depraved,suit,,,,
depressed,tone,,,,
depressing,window,,,,
depressive,agent,,,,
deprived,band,,,,
deranged,block,,,,
derivative,bone,,,,
derogative,calendar,,,,
derogatory,cap,,,,
descriptive,coat,,,,
deserted,contest,,,,
designer,corner,,,,
desirable,court,,,,
desirous,cup,,,,
desolate,district,,,,
despairing,door,,,,
desperate,east,,,,
despicable,finger,,,,
despised,garage,,,,
despondent,guarantee,,,,
destroyed,hole,,,,
destructive,hook,,,,
detachable,implement,,,,
detached,layer,,,,
detailed,lecture,,,,
detectable,lie,,,,
determined,manner,,,,
detestable,meeting,,,,
detrimental,nose,,,,
devastated,parking,,,,
devastating,partner,,,,
devious,profile,,,,
devoted,respect,,,,
devout,rice,,,,
dexterous,routine,,,,
diabolical,schedule,,,,
diagonal,swimming,,,,
didactic,telephone,,,,
different,tip,,,,
difficult,winter,,,,
diffuse,airline,,,,
digestive,bag,,,,
digital,battle,,,,
dignified,bed,,,,
digressive,bill,,,,
dilapidated,bother,,,,
diligent,cake,,,,
dim,code,,,,
diminishing,curve,,,,
diminutive,designer,,,,
dingy,dimension,,,,
diplomatic,dress,,,,
dire,ease,,,,
direct,emergency,,,,
direful,evening,,,,
dirty,extension,,,,
disabled,farm,,,,
disadvantaged,fight,,,,
disadvantageous,gap,,,,
disaffected,grade,,,,
disagreeable,holiday,,,,
disappearing,horror,,,,
disappointed,horse,,,,
disappointing,host,,,,
disapproving,husband,,,,
disarming,loan,,,,
disastrous,mistake,,,,
discarded,mountain,,,,
discernable,nail,,,,
disciplined,noise,,,,
disconnected,occasion,,,,
discontented,package,,,,
discordant,patient,,,,
discouraged,pause,,,,
discouraging,phrase,,,,
discourteous,proof,,,,
discredited,race,,,,
discreet,relief,,,,
discriminating,sand,,,,
discriminatory,sentence,,,,
discussable,shoulder,,,,
disdainful,smoke,,,,
diseased,stomach,,,,
disenchanted,string,,,,
disgraceful,tourist,,,,
disgruntled,towel,,,,
disgusted,vacation,,,,
disgusting,west,,,,
disheartened,wheel,,,,
disheartening,wine,,,,
dishonest,arm,,,,
dishonorable,aside,,,,
disillusioned,associate,,,,
disinclined,bet,,,,
disingenuous,blow,,,,
disinterested,border,,,,
disjointed,branch,,,,
dislikeable,breast,,,,
disliked,brother,,,,
disloyal,buddy,,,,
dismal,bunch,,,,
dismissive,chip,,,,
disobedient,coach,,,,
disorderly,cross,,,,
disorganized,document,,,,
disparaging,draft,,,,
disparate,dust,,,,
dispassionate,expert,,,,
dispensable,floor,,,,
displaced,god,,,,
displeased,golf,,,,
displeasing,habit,,,,
disposable,iron,,,,
disproportionate,judge,,,,
disproved,knife,,,,
disputable,landscape,,,,
disputatious,league,,,,
disputed,mail,,,,
disreputable,mess,,,,
disrespectful,native,,,,
disruptive,opening,,,,
dissatisfied,parent,,,,
dissimilar,pattern,,,,
dissolvable,pin,,,,
dissolving,pool,,,,
dissonant,pound,,,,
dissuasive,request,,,,
distant,salary,,,,
distasteful,shame,,,,
distinct,shelter,,,,
distinctive,shoe,,,,
distinguished,silver,,,,
distracted,tackle,,,,
distracting,tank,,,,
distraught,trust,,,,
distressed,assist,,,,
distressing,bake,,,,
distrustful,bar,,,,
disturbed,bell,,,,
disturbing,bike,,,,
divergent,blame,,,,
diverging,boy,,,,
diverse,brick,,,,
diversified,chair,,,,
divided,closet,,,,
divine,clue,,,,
divisive,collar,,,,
dizzy,comment,,,,
dizzying,conference,,,,
doable,devil,,,,
documentary,diet,,,,
dogged,fear,,,,
doggish,fuel,,,,
dogmatic,glove,,,,
doleful,jacket,,,,
dollish,lunch,,,,
domed,monitor,,,,
domestic,mortgage,,,,
dominant,nurse,,,,
domineering,pace,,,,
dorsal,panic,,,,
doting,peak,,,,
double,plane,,,,
doubtful,reward,,,,
doubting,row,,,,
dovish,sandwich,,,,
dowdy,shock,,,,
down,spite,,,,
down-and-out,spray,,,,
downhearted,surprise,,,,
downloadable,till,,,,
downtown,transition,,,,
downward,weekend,,,,
dozing,welcome,,,,
drab,yard,,,,
drained,alarm,,,,
dramatic,bend,,,,
drastic,bicycle,,,,
dreaded,bite,,,,
dreadful,blind,,,,
dreaming,bottle,,,,
dreamy,cable,,,,
dreary,candle,,,,
drenched,clerk,,,,
dress,cloud,,,,
dressy,concert,,,,
dried,counter,,,,
dripping,flower,,,,
drivable,grandfather,,,,
driven,harm,,,,
droll,knee,,,,
